id,quote,character,train
68,This is the most important day of the year. I can’t risk anything.,Dwight,True
69,"Yeah. Yeah. It’s a good thing we talked about it though, because we had to…",Jim,True
70,Just-in case. What’s your last name?,Michael,True
71,"Oh, I’m sorry.",Jim,True
72,There’s a hose out back.,Dwight,True
73,Alright!,Pam,True
74,I tried. He will not listen.,Jim,True
75,"Stressed, but to be fair, it was a tense situation.",Jim,True
76,I’m fine.,Pam,True
77,Move to the side of the road!,Dwight,True
78,"Maybe. The suspense is just so exciting, isn’t it?",Michael,True
79,"What? Don’t you cap that pen. Do not cap that pen! Do not! Ugh! You capped it. Wow. You are serious. Ok, you’ve got two minutes and then the cap comes off.",Dwight,True
80,"Okay, it’s football cream. It’s football cream. Alright! So, anybody else?",Michael,True
81,"Yes you are. Oh, buckle up Jim.",Michael,True
82,It… folds up. You’ve only seen it flat.,Michael,True
83,"Okay, okay.",Pam,True
84,Walk with me.,Michael,True
85,"Hi. I’m Michael Scott. I’m in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I’m also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, “If you’re a racist, I will attack you with the North.” And those are the principles that I carry with me in the workplace.",Michael,True
86,"Ah. Why do you keep reading that garden party book? I mean, how hard are finger sandwiches and tea?",Jim,True
87,Penny for your thoughts.,Jim,True
88,What?,Dwight,True
89,"Thanks for much for helping the company, Dwight.",Pam,True
90,"Really? If I can skin a mule deer in less than ten minutes, I ought to be able to cut my —",Dwight,True
91,"And my new favorite restaurant sucks… I bought a video camera last year, and I was looking at the tapes, and there were only like twelve minutes that I felt was worth taping the whole year. And most of that was just birds in my condo complex. What is that? … I miss Holly.",Michael,True
92,"No, no you’re wrong about this.",Michael,True
93,Don’t.,Dwight,True
94,"It might seem crazy, but since there’s no one left in New York, Michael is Dunder Mifflin’s highest ranking employee. So, that’s where we are.",Pam,True
95,"Well, I guess it doesn’t look that cool either. But, it’s been up there a long time, so it’s become a pretty big deal.",Pam,True
96,I can take 3 people.,Pam,True
97,The customer is always right. Mrs. Allen was our customer. She was wrong. Is that a contradiction? No. Because she’s not our customer anymore.,Michael,True
98,"Just how this going to be, you know? You have a beautiful round head.",Dwight,True
99,Michael. Stop.,Pam,True
100,All right.,Michael,True
101,Fine. Fine.,Michael,True
102,"Well my name’s Michael Scarn and I’m here to say, I’m about to do The Scarn in a major way. You jump to the right and you shake a hand and you jump to the left and you shake that hand. You meet new friends, and tie that yarn, and that’s how you do The Scarn! You jump to the right and you shake a hand and you jump to the left and you shake that hand. You meet new friends, and tie that yarn, and that’s how you do The Scarn! You jump to the right and you shake a hand and you jump to the left and you shake that hand. You meet new friends, and tie that yarn, and that’s how you do The Scarn!",Michael,True
103,"I don’t think I’m gonna miss being manager. You know how some people say they’re not in it for the money? Well, with all due respect to this job, I think I’m definitely in it for the money. And quite honestly, the women.",Jim,True
104,I don’t know. I feel… I drive a lot. I’m spending a fortune on gas and tolls –,Michael,True
105,"That would be suicide. Never, never talk specifics. Not in a speech. But the fact that you have no idea what to say is, believe it or not, the least of our worries.",Michael,True
106,You will? Wanna do it right now?,Jim,True
107,"Michael, did you say anything?",Jim,True
108,Thank you.,Pam,True
109,He doesn’t understand a word you’re saying.,Dwight,True
110,"Well, thank you… thank you a lot. And for what it’s worth I think your baby voice is tops.",Michael,True
111,"When you got transferred, and I drove you up to Nashua, you said, “Michael, I love you, but I can’t do this.” But then, with this other guy, you don’t have any problem with a long-distance relationship, do you? And you know what, that is what is the matter with me.",Michael,True
112,I thought that you were engaged?,Michael,True
113,"No, I made brownies.",Pam,True
114,"NOOOO! GOD! No, God, please no! No! No! NOOO!",Michael,True
115,Get lost.,Michael,True
116,But not to us.,Pam,True
117,"His last girlfriend was a transvestite. I knew it right away. Adam’s apple like the prow of a ship, thumbs like a lowland gorilla. Ha, but this one couldn’t see it, or didn’t wanna see it.",Dwight,True
118,"Okay. Well, when she comes back we’ll do it again. Hello, what about the birthday boy? Haven’t had a hug all day.",Michael,True
119,"Yeah. No, I know. This whole telecommuting thing — not ideal. But don’t worry. I’ll figure it out.",Jim,True
120,"Nellie, why don’t you tell Dwight what we were doing earlier today. And Dwight, you show us that you’re listening.",Pam,True
121,"Yesterday, I was dispatched to Jim and Pam’s house to find Pam’s iPod. I searched everywhere, but I didn’t find it. What I did find, was mold, and lots of it. So, I did what anyone would do. Read a book, had a bath, I got a good night’s sleep, and I made plans to eradicate it. I also made plans to ask Jim where he bought his marvelous sheets… Time to get to work .",Dwight,True
122,Volunteerism is important. Every weekend I volunteer at the local animal shelter and they need a lot of help down there. Last Sunday I had to put down over 150 pets all by myself.,Dwight,True
123,Hello.,Dwight,True
124,No.,Jim,True
125,You’re an ass. Shut it.,Michael,True
126,Maybe I’ll see an accident one weekend?,Michael,True
127,"Well, it’s just a movie, Dwigt.",Jim,True
128,Right. But how’d you say it?,Pam,True
129,Mmm… it’s like Michael said. It was some- something else.,Jim,True
130,"Yes, I am. It’s very sad. Because he was my boss.",Michael,True
131,"No way. Get him out of here. We don’t want any of this kind in here. Good to see you, man.",Michael,True
132,You did?,Pam,True
133,He’s running!,Jim,True
134,"Andy, Andy, this is a pivotal scene in the ad. And if we don’t get this, if we don’t nail it, we’re going to lose the whole triumph of the moment. The triumph of the will. Now, God, what? What Phyllis?",Michael,True
135,"Well, if you like her so much, don’t give up.",Michael,True
136,"Um, I got some photos from Costa Rica if you want to see them?",Michael,True
137,...,Michael,True
138,"Oh God no, Dwight isn’t my friend… Oh my God! Dwight’s kind of my friend!",Pam,True
139,"Oh, it’s like naughty or nice.",Jim,True
140,No.,Dwight,True
141,Do you even know what this is? It is a fitness orb and it has completely changed my life. Forget everything you thought you knew about ab workouts.,Dwight,True
142,I disagree with.,Jim,True
143,"Oh wow, thank you.",Jim,True
144,"Mr. Ruger, are you trying to take advantage of me because I’m interested in your daughter? Fifty fifty split or no deal.",Dwight,True
145,"Are these facts scaring you, or are they not?",Michael,True
146,What?,Michael,True
147,The limo seats eight. Ok. Then Jim and Pam and Ryan plus a guest.,Michael,True
148,Oh man.,Dwight,True
149,"The word merger comes from the word marriage. And that was what today was supposed to be. The loving union between people. Instead, it has become like when my Mom moved in with Jeff. And once again, it becomes my job to fix it.",Michael,True
150,"Oh, she’s good actually.",Jim,True
151,Holy s*** is that real?,Pam,True
152,"Dwight come on, come-",Jim,True
153,Love you too. Bye.,Jim,True
154,"Don’t take that dress. Stop it, Jan.",Michael,True
155,"Not at all, can we go?",Jim,True
156,"Okay, Michael, I thought we agreed to not take up people’s time with meetings like these.",Jim,True
157,Should we help ’em pick up their stuff?,Dwight,True
158,Hey. Ed’s Tires is thinking of making a change.,Dwight,True
159,"Alright, well, let’s look at this a little bit closer then shall we?",Michael,True
160,"No way, no how. Expense reports are a day-to-day item. That is Jim’s now. I am exclusively big picture, epic.",Michael,True
161,Yeah!,Dwight,True
162,"Okay, you know what, next time, I’ll let you get the cake and I get to scream at the birthday girl.",Jim,True
163,But I don’t have any…,Dwight,True
164,"…a little bit of Roooy eating chicken crispers… …a little bit of Jim with some ribs, a little bit of…",Michael,True
165,No this is Holly.,Michael,True
166,"Don’t be shy, shy boy. Don’t be shy. Get up there.",Michael,True
167,On his mother’s grave.,Dwight,True
168,That’s terrible.,Michael,True
169,...,Michael,True
170,"Yeah, but I destroyed it, it’s not even useable anymore.",Michael,True
171,"Sensei, hello it’s Sempai…",Dwight,True
172,They say that your wedding day goes by in such a flash that your lucky if you even get a piece of your own cake. I say that’s crazy. I say let them eat cake. Margaret Thatcher said that about marriage. Smart broad.,Michael,True
173,It’s not supposed to shred magazines Kevin.,Pam,True
174,"No? okay, fine.",Michael,True
175,Which one of these is coolest? What do you think?,Michael,True
176,"She was kind of tripping me up, cause she was, um, I was trying to get something going, when I was over her with the gun, and she like kept changing the story.",Michael,True
177,I don’t think he is the best dresser. Reminds me of Easter.,Michael,True
178,Oh no you ain’t!,Pam,True
179,Here we go!,Dwight,True
180,What?,Michael,True
181,I told you.,Dwight,True
182,"Oh, I don’t know, James. Did I come from a woman? Have I slept with a woman? More than one?",Michael,True
183,"I don’t understand. So, we’re gonna tag team it?",Michael,True
184,"Okay, Michael! Focus!",Jim,True
185,"Holly, I love you so, so, so much. And I think we need to break up.",Michael,True
186,"Well, that…",Michael,True
187,"“We have our high quality 28 pound bond, our heavier 38 pound bond, or our…” I’ve got eight hours of this. Of course I wanted Jim to find the mallard, make him feel safe. Did you really think I would put my primary listening device in a wooden mallard? I’m not insane. “…65 pound cover stock, which is the heaviest paper that will still feed smoothly through your desktop printer.”",Dwight,True
188,But that doesn’t matter. This does. It’s the only thing that matters. We’ve had some really nice days together.,Jim,True
189,All right.,Jim,True
190,"Hey, are you single? This seems like a love connection to me!",Pam,True
191,"All right, all right, all right, all right. This isn’t ‘Lord of the Rings’.",Michael,True
192,"Thanks guys. All right, here we go. Let’s go.",Jim,True
193,"Don’t you ever talk to me that way. You pathetic, short little man. You don’t have any friends, or any family, or any land.",Dwight,True
194,Yup.,Jim,True
195,Fuuuaaaahhhhh… oohhhhh!,Michael,True
196,"Well, I am little concerned with all of these changes, to be quite frank. I think we have done things a certain way here at Dunder Mifflin for quite some time, and –",Michael,True
197,That is not the expression.,Jim,True
198,"No, I didn’t mind helping Jim with his problem. That’s what friends do. I help Phyllis all the time. Just yesterday, I untangled a piece of tape from her hair. So, yeah.",Pam,True
199,"And no, I cannot lower my current prices. Hold on. Hello? Mr. Schofield, thank you so much for taking the time to talk. I wanted to discuss your contract with us- oh, you’re considering him. I thought Michael Scott left the paper business after his nervous breakdown.",Dwight,True
200,"No, just get me a case. All right.",Michael,True
201,Please stop that!,Jim,True
202,Oh man. I should be mad at you guys. But I’m not.,Michael,True
203,No kidding.,Dwight,True
204,Against who?,Michael,True
205,Yeah. Thank you.,Jim,True
206,"I am a grown-up, Jim.",Michael,True
207,Jim!,Dwight,True
208,Hmm?,Dwight,True
209,Yeah.,Michael,True
210,No.,Pam,True
211,Bringing home the bacon.,Michael,True
212,"N– well, to be fair, Jim… James… Jimothy… To be fair, Jimothy, the– ah, that sounds weird. Are you okay with being called Jim?",Michael,True
213,"Mm-hmm. Yes, I’m fine. Um, yeah, the doctor said it’s still considered a minor contraction as long as I can talk through it.",Pam,True
214,"I know what Jim is trying to do. He’s trying to get big bad Dwight to shell out for a huge repair job while lucky Jimbo gets a paid vacation. Well sorry, lucky Jimbo, I can live very happily in a magnetic field. Most of my childhood heroes got their power that way.",Dwight,True
215,"Game over. Game over. That is it! I’m sorry, you know? I hate to do it this way but, you know, that’s just… we’re having a friendly game. It’s a shame. This is a damn shame, but we’re like a family here and that just, that won’t fly.",Michael,True
216,I do.,Dwight,True
217,"Jim, please. Happy thoughts here. Happy times.",Pam,True
218,"No, you don’t.",Michael,True
219,Da na na na na.,Michael,True
220,I’m not– I’m not following you.,Dwight,True
221,I left him all the tools he needs. This is do or die. If he chooses correctly he’ll conquer the hornets…,Dwight,True
222,I’m not going to leave until you forgive me.,Michael,True
223,Not until midnight.,Pam,True
224,"Yes. Yes, I can see… that we did indeed. Why don’t you explain this to me like I am an eight-year old.",Michael,True
225,I won’t,Michael,True
226,"People say I am the best boss. They go, “God we’ve never worked in a place like this before. You’re hilarious.” “And you get the best out of us.” I think that pretty much sums it up. I found it at Spencer Gifts.",Michael,True
227,"OK, Kenny.",Jim,True
228,"Hey you know what? Do you have a rundown that I could take a look at, just so I know what type of rundown you’re looking for ?",Jim,True
229,"And my middle name is ‘Kurt’, not ‘Fart’.",Dwight,True
230,"Well, you know what Dwight? He’s your work boss, okay? He is not your relationship boss.",Jim,True
231,"Why don’t you just let me handle the Tolkien references, okay dumb jock?",Dwight,True
232,Come on.,Jim,True
233,"Yes, this is the only time I’m ever going to make this request.",Pam,True
234,I’ll call her later.,Michael,True
235,Yeah?,Dwight,True
236,Too many words. Good ideas are simple. ‘Golden ticket.’,Michael,True
237,Well today’s your lucky day. I have opened in this very office building Dwight Schrute’s Gym for Muscles. You wanna take a look?,Dwight,True
238,This is a huge sale.,Pam,True
239,This close.,Jim,True
240,"Well, you know what Phyllis? All of your guests would have probably canceled at the last minute anyway, leaving your life a stupid rotten mess.",Michael,True
241,"Yes. You put them in jail for a long time, you put them in jail for as long as you can.",Michael,True
242,"Okay, so what do you want to do?",Jim,True
243,"Dwight. Dwight. Dwight! Okay, that’s it. Keep it in your pants.",Michael,True
244,"Yeah, I don’t think that would happen. See, I used to run with a very tough crowd, street fighter types. Real, real bad people. I’m just lucky I got out. I was a bad ass mo-fo. Stanley knows what I’m talking about.",Michael,True
245,I just talked to my advisor. Failing.,Pam,True
246,I’m not getting dressed. I’m not getting dressed. I have too many things to do before I get dressed. I need to find a hundred clients.,Michael,True
247,"Ugh, that would be gross. It’s not even lunch yet.",Michael,True
248,… Marilyn Monroe!,Dwight,True
249,"I’m positive. Yeah, oh, and here’s your expense receipts right there.",Dwight,True
250,Hi. How did you know I was up here?,Michael,True
251,"Ok I’m gonna head outta here, I know you have a lot to talk about. Ok, is there a, an operating theater that’s open to visitors? Never mind I’ll find it.",Dwight,True
252,Okay… Holly’s back.,Jim,True
253,I’ll text Pam. She’s really good at this stuff.,Jim,True
254,"What the heck? Is that, uh…",Jim,True
255,Hey.,Jim,True
256,You’re not going to do anything to his neck or his groin.,Jim,True
257,Ok. Who else has heard the rumor that I am not as much in charge as Michael?,Jim,True
258,"I’m not really sick. Nah, I’m good.",Michael,True
259,That was fun.,Michael,True
260,"Oh, yeah, How have we not talked about this already? I mean what happened there? Kidnapping?",Jim,True
261,"Well… we have nothin to talk about, Dwight. Just do your work … while you still can.",Michael,True
262,"Michael, its not how you leave in an office. It how you…",Jim,True
263,"Oh, I understand. And I also have lots of questions, like, what does a demerit mean?",Jim,True
264,You shouldn’t do things like that. The man is supposed to do that.,Dwight,True
265,It’s nice to have you back.,Pam,True
266,"No, no, no, “Tracks of My Tears” and what else? What are some more? What’s one more?",Pam,True
267,"But guys, I’m a victim here too, okay? People here have been saying that I’m a J. Crew model.",Michael,True
268,Ayyyy!,Jim,True
269,"He’s not the worst, okay? He’s not the worst. You know who’s the worst? That intern we had a few years ago. That guy-remember? Eeeh! That face, how ugly he was? He was the worst. Good worker, though. Ah! It’s not cappuccino.",Michael,True
270,Yeah.,Dwight,True
271,"No Michael, why would you promise that?",Pam,True
272,Da na na na na.,Michael,True
273,"Really? What did they say? “For a good time, call Michael Scott”?",Michael,True
274,"Why don’t we just, live and let live?",Michael,True
275,"Wait a second. I should have spotted another addict. Uh, gotta love the ‘bucks.",Michael,True
276,Same page. Just keep moving.,Dwight,True
277,"Irrelevant question. Section 5A, child shall be male.",Dwight,True
278,No. you know what? No. Because… I’m not that guy. And we are not that couple.,Jim,True
279,That’s fine.,Jim,True
280,"What do we think, what would drive him crazy.",Jim,True
281,"Oh, nothing.",Jim,True
282,"What? No, it’s not… it’s nothing.",Pam,True
283,"Oh, that’s different, is it? Okay…thief. You better check your things, people. In fact, where are my keys? Oh, there in my pocket. False alarm. Okay. So…you’re gonna be workin’ here?",Dwight,True
284,No. You were right.,Pam,True
285,Absolutely not.,Jim,True
286,"Wow, can we make it a different moment?",Jim,True
287,"Hey, Jim. It’s Pam.",Pam,True
288,It’s moments away. Just stay here!,Dwight,True
289,I’m not seeing anything under “confirmation.”,Dwight,True
290,"I don’t believe in apologies. When someone in the yakuza makes a mistake, they cut off a portion of their own pinky finger. And in that way, save face. And knowing the Japanese, they probably get an even better prosthetic finger. With a knife you can take out of it, or a screwdriver or a corkscrew.",Dwight,True
291,Wait! I wanted to sit next to you.,Dwight,True
292,I don’t know. I’m just hungry.,Pam,True
293,Just listen. Remember that casino night about a month before we were supposed to get married? I kissed Jim.,Pam,True
294,"No, I don’t-this doesn’t change anything. I have a very important decision to make. We need a new copier. We need new chairs. And I need to figure out a way to keep this money without having everybody hate me.",Michael,True
295,Oh. Three nines.,Jim,True
296,Got them on their feet.,Michael,True
297,"I can give you an extra laptop battery. Not everyone took one. How about this? If you can find a way to pay for your college tuition, let me buy your books, okay?",Michael,True
298,Toward the sun.,Michael,True
299,"No no, we are fine. You have done enough already.",Michael,True
300,He plays piano?,Jim,True
301,Ah. That… they might be off the hook for because I… didn’t tell them.,Jim,True
302,"It’s not a Jewish joke, so don’t worry.",Michael,True
303,I’m sorry. I’m sorry. It’s just the first… girl that popped into my head. I’ll find somebody I haven’t slept with.,Michael,True
304,"He is my oldest friend, I am going to tell him.",Michael,True
305,Can I be your representative?,Dwight,True
306,To Can-A-da.,Michael,True
307,You must be really proud.,Jim,True
308,But you’re saying there’s a chance.,Jim,True
309,"Okay, I feel like this noise is going to prevent Pam from being able to listen to her body’s signals.",Jim,True
310,"You are gonna be my accomplice. Just go along with it, OK?",Michael,True
311,"We did it, we did it. I love you.",Dwight,True
312,I’m not giving you the answer. Deck hands is one. And…,Michael,True
313,We were something else.,Pam,True
314,"Oh, it’s just my avatar guy. Whatever.",Jim,True
315,"Oh, no.",Jim,True
316,Define foment.,Dwight,True
317,That is so sweet. You are the best GD girlfriend in the world. Do you know that?,Michael,True
318,Ha ha ha.,Jim,True
319,Oookay….,Pam,True
320,No.,Dwight,True
321,Let’s cut it.,Michael,True
322,"Yes, it’s mine.",Michael,True
323,That’s not it.,Jim,True
324,"Ahh, thank you. Like a butler.",Michael,True
325,Oh.,Pam,True
326,"I pick up day laborers and tell them they’ll get paid at six p.m. At five forty five, a certain INS agent by the name of Mose Schrute throws them in the back of a van, drops them off in the middle of Harrisburg and tells them it’s Canada.",Dwight,True
327,"Dunder-Mifflin is the big picture! Can’t you understand that? No, you can’t. You’re too young. Ryan… has never made a sale. And he started a fire trying to make a cheesy pita. And everybody thinks he’s a tease. Well you know what? He doesn’t know anything, and neither do you. SO SUCK ON THAT!",Michael,True
328,Yep. Ah. Oh.,Jim,True
329,"Congratulations, buddy.",Jim,True
330,I’m not. These people are the best of the best. I find talent an attractive quality in a friend.,Dwight,True
331,"I will tell her what her needs are and then fill them. So this is going to work out best for you if you just relax and do nothing. And once I’m finished, it’s over.",Dwight,True
332,"Oh, great! His truck!",Pam,True
333,Wow! Lot of calories.,Dwight,True
334,Listening.,Dwight,True
335,Yeah.,Michael,True
336,Yikes.,Jim,True
337,Yeah!,Dwight,True
338,Yes! Wallace said there would be one of those.,Michael,True
339,"Yeah, Steve, whatever his name is.",Dwight,True
340,Um… ‘Fifty signs your priest might be Michael Jackson.’,Jim,True
341,You think you would have done better without me? Really?,Michael,True
342,"And that is why, I am going to jump off this roof!",Michael,True
343,Do you want to hear a lie?,Michael,True
344,I will pay you whatever it takes.,Dwight,True
345,"See, that’s what I’m having trouble with, because the fact is, you never said he was on a bicycle. Busted, Halpert!",Dwight,True
346,"Do I have a special someone? Uh well, yeah of course. A bunch of ’em. My employees. If I had to choose between a one-night-stand with some stupid cow I pick-up in a bar, and these people? I’d pick them every time. Because with them, it is an everyday stand and I still know their names in the morning.",Michael,True
347,Who’s the target?,Dwight,True
348,We start on a single blank sheet of paper.,Michael,True
349,The only time you should care about a woman’s age is if she is too young for you and I am not robbing the cradle. If anything I am robbing the grave.,Michael,True
350,"Michael, I cannot tell you what I was doing there. But you have to trust me, I would never do anything to hurt you or this company.",Dwight,True
351,You want you to take this pen and this piece of paper and write this down. Write this down.,Dwight,True
352,"Oh hey, I know you… Elizabeth?",Michael,True
353,Yeah.,Pam,True
354,…poop my pants.,Michael,True
355,What is going on?,Jim,True
356,"No, um. How is this not a pyramid scheme?",Jim,True
357,You gotta have sex with a woman.,Jim,True
358,"Yup, I’m good, whew. Wow, I feel like a human juicebox. Hawaiian blood punch.",Michael,True
359,We should just go. He’s really uncomfortable.,Jim,True
360,"Please! I have a company to run. Well, you let me run the company?",Michael,True
361,"Got to find yourself another wedding to crash, my friend.",Dwight,True
362,"Games have the power to distract people from stressful situations. Battleship got me through my parents’ divorce. Operation got me through my vasectomy, i.e., my operation. I don’t think I would have been able to endure my breakup with Holly had it not been for Toss Across.",Michael,True
363,Flash cards.,Michael,True
364,"Oh, burn. Burn on you… and a little bit on me, too.",Jim,True
365,Is that your office?,Jim,True
366,They’re good,Michael,True
367,Ryan and I have been meeting up to work on our diabolical plot against Jim. Ryan is always late for our meetings. I wish I had a lair.,Dwight,True
368,Okay.,Jim,True
369,Mmm… whoa.,Michael,True
370,"It’s… it’s very courageous, very exciting. Um…",Michael,True
371,Yeah. It’ll be fun. What do you… What do you…,Michael,True
372,I could have my men in here in a second and have you arrested.,Dwight,True
373,That was really rough.,Jim,True
374,"Ok, let’s take 15, again.",Michael,True
375,"No, Toby, this is different. He’s already dead.",Dwight,True
376,Oh! OK!,Michael,True
377,"Yeah, the um, the city commissioned me to do the-",Pam,True
378,"Oh, those are drawings. In case the writing didn’t really put a picture in your head. And there he is, in the flesh, Agent Michael Scarn. Now we know what he looks like.",Jim,True
379,Mm-hmm.,Pam,True
380,All-in.,Michael,True
381,Doesn’t matter.,Dwight,True
382,Did you go to second?,Jim,True
383,"Mmhmm, bravo!",Michael,True
384,"Uh, just never happened.",Michael,True
385,"You’re taking this out on me, but I was only the messenger.",Dwight,True
386,Wait a minute.,Jim,True
387,You couldn’t of memorized that?,Jim,True
388,I’m not asking what you do in there. I just want to know what’s written about Michael.,Dwight,True
389,Okay.,Jim,True
390,What was?,Jim,True
391,Come on.,Michael,True
392,No?,Michael,True
393,What is it?,Jim,True
394,You did that?,Pam,True
395,"Well, who needs him. Guess it’s just you and me, Dwight.",Michael,True
396,Not yet.,Dwight,True
397,Once point for me.,Pam,True
398,Stop what?,Jim,True
399,You sure?,Jim,True
400,"Today I turned an office crisis into a teachable moment. A lesser manager would have screwed this day up royally Some yokel sitting behind his desk saying take a lead, learn nothing Some people shouldn’t be in this business.",Michael,True
401,"Oh, look at this. Your old condo closing papers. It’s riddled with Carol’s name. I wish I could throw this in the box.",Dwight,True
402,"Well, I did say it would be an inconvenience. You should have called me from downstairs. We could’ve met in the lobby. It’s time to go out on a sale! Here we go.",Dwight,True
403,"Okay, Dwight. Let me explain something to you. I set the rules and you follow them. Blindly. Okay? And if you have a problem with that then you can talk to our complaint department. It’s a trash can.",Michael,True
404,"Oh, I’m sorry I don’t know… what we’re talking about…",Jim,True
405,Yes. We will be requiring a bed time story.,Jim,True
406,Yeah… I could.,Michael,True
407,United front…,Pam,True
408,You wanna pull a prank on Andy?,Jim,True
409,She can’t talk to us that way.,Michael,True
410,"No! No. I’m just saying, why does God get to do something that I don’t?",Michael,True
411,"Dwight, Dwight.",Jim,True
412,Who doesn’t?,Jim,True
413,You need to stop talking.,Jim,True
414,Ha!,Dwight,True
415,I didn’t think you were going to get that one. I really didn’t.,Jim,True
416,"Do not mind! Yes, I do! No, I don’t. Yes, I do! No, I don’t mind. Catch you guys on the flippity flop. Oh this… call waiting. Yeah, uh huh, well you tell the Mayor he just lost six votes.",Michael,True
417,Mm. No. Wrong on both counts.,Jim,True
418,"Stanley, we’re havin a little…",Michael,True
419,I have generated a lot of interest in my party this evening.,Michael,True
420,Whoo!,Dwight,True
421,Ok.,Pam,True
422,Hey Karen.,Jim,True
423,She’s only a cat.,Dwight,True
