id,parent,reply,character
134,"Yes, we are supposed to look for every chance to acknowledge and appreciate each other’s sacrifices. Because I need to appreciate what Pam’s been doing to run the house while I’m in Philly.",And we’re also supposed to speak our truths.,Pam
135,Hey.,Hey.,Michael
136,Boo! Boo!,Okay. I appreciate the feedback.,Michael
137,"Case anyone needs to go to the bathroom in the middle of the night, I don’t wannna get my head stepped on.","Do you want me to sing you a song my mother used to sing me, when we were sick?",Dwight
138,"Ah, we did it!","Whew, wow I was so nervous about this I don’t think I ate for three days.",Michael
139,"Ok, sending.",Well done. And we managed to kill the entire morning.,Pam
140,What does that mean?,"I needed leverage so I pulled those pictures off the internet. It’s just this Office Administrator thing, I don’t wanna…",Pam
141,No.,"Uh, ow. Ryan! … Ryaaaaan … RYYYYAN!",Michael
142,Trick… there’s no such thing. It’s not even a real English duo.,Ah!,Dwight
143,"No, no, no, no, no, we don’t need to call the police. They’ll just ask everybody questions, get up in everyone’s business, right, Pam?",Police are a hassle. We settled this on the street.,Pam
144,"I don’t know, maybe volunteer at the shelter, or go to bed, or… I don’t know. Maybe I’m going to the Dundies!!",You are getting so funny! Very good.,Michael
145,I would like to arrange a truce.,"So you heard Schofield is considering a switch, and you want mercy?",Michael
146,Good luck!,Good luck to you.,Dwight
147,"Ah, no, it passed. It’s good.",You know what? Let’s go. We got to go to the hospital.,Jim
148,I didn’t…,Cause that’s…,Michael
149,You already had a party on May 5th for no reason.,No reason?! It was the 05 05 05 party…,Michael
150,"Here. Scranton. Come on. Come on, Dwight. Get up. Let’s go. It’s good news.","I’m sorry. I’ve just waited for this moment my entire life. I mean, I was interim manager once, but then I shot that gun.",Dwight
151,Bluh.,Uhh.,Dwight
152,127 hours. It’s about this guy who-,"No, no. No spoilers. Please.",Dwight
153,"Good, good. Keep it on there for another five minutes. Just let the swelling go down.",Oh thank you. Thanks. I owe you one Dwight.,Michael
154,"Michael, I don’t want to incentivise murder. But – we’ve tried to make it clear that our policy emphasises sales staff –",They act like I have no power.,Michael
155,Well then you’re not getting you’re pizzas.,"No, no you’re not going anywhere. You’re staying here until we figure this out.",Michael
156,"Not much of a performer, unless you count singing in the shower. Boy, okay…","Okay, well we’ll work on it.",Michael
157,I don’t care. They can just vote.,"No, they can’t. That’s not how this is gonna work. We’re going in this room, we’re going to have a meeting. We’re gonna make a recommendation to Jo, and she’s gonna give you her recommendation on Monday. Okay? What the hell happened out there?",Jim
158,Look. She’s a dental hygienist from Carbondale and she makes love like one. She’s a bumpkin. Pass.,She’s– okay. Do you know how hard it is to be a hygienist? You have to take x-rays. You have to scrape the plaque off of people’s teeth. You have to tell kids when to spit and make sure they’re not scared when the dentist comes in. It– it–,Michael
159,I didn’t win. But the only reason I didn’t win is because I recently learned that it’s better to work thing out with words.,That’s not why you lost.,Dwight
160,"Pardon. Pardon me, Mr. Scott, but the last time I saw a company as mismanaged as Dunder Mifflin, it was my grandson’s snowball company, so you’ll excuse me if I prefer that you all adapt to the way that we do things.",Ok. I feel very strongly that you can’t just come in here and change everything that people have been doing forever. Is Christian Slater back there? Because… he knows. He’d know what to do.,Michael
161,I’m sorry.,This is a no work zone. Please respect the lei.,Michael
162,"Alrighty, Dwighty, let’s see how you did.",Bring it on.,Dwight
163,Men love this one.,"James Bond Fire. I am Bond fire, James Bond Fire. Michael Scarn.",Michael
164,I don’t know,It’s a common question.,Dwight
165,"No, no, that makes total sense.","Hey buddy, so every-",Dwight
166,Stealing office supplies is another big ethical area that there seems to be some confusion about.,Can we have a moment? Can I talk to you for a sec? Lot of good stuff. And you look… you look fantastic.,Michael
167,Did you take care of the situation?,"Yuh, yuh, yes! I… I have essentially…",Michael
168,"Michael, undo it!",Don’t…,Michael
169,Did you guys do much stuff together?,"Yeah. You know what? He took me to a baseball game once, I remember. It was weird though. They took the pitcher out of the game. I felt really bad, because the pitcher wasn’t able to play with his friends anymore. But Jeff said that the manager was making a really good move, by taking the pitcher out. He really respected the manager.",Michael
170,Great.,I think you seem distracted.,Jim
171,He’s right. Cops can’t do anything until a crime has been reported.,All right.,Michael
172,What are you talking about?,What are you-,Dwight
173,This is perfect.,He looks like your twin.,Dwight
174,"Egg dripping, blah, blah, blah.","What are we doing, Dwight, what we are doing?",Michael
175,When’s the presentation?,It’s moments away. Just stay here!,Dwight
176,Why don’t you like him?,"What is there to like? He’s just, he’s a weird little skeevy guy with no waist, why do you care whether we like him or not?",Michael
177,Okay then!,"Hey Pam, did you see this? It was on You Tube.",Michael
178,"Nope I don’t, remember when you told us not to make plans ’cause we’re working.","Yes I remember. Mmm, this is B.S. This is B.S. Why are we here? I am going to call corporate. Enough is enough, I’m – God, I’m so mad! This is Michael Scott, Scranton, well we don’t want to work. No we don’t! It’s not fair to these people. These people are my friends and I care about them! We’re not going to do it! Everybody I just got off the horn with corporate and basically I told them where they could stick their little overtime assignment. Go enjoy your Friday.",Michael
179,"But do I like her or not, because if I like her, then I can’t back down.",If you’re going number one you’ve got ten more seconds!,Dwight
180,Maybe I’m overreacting.,Yeah… maybe.,Jim
181,"If you left, I wouldn’t have to fire anybody.",But then you wouldn’t have me here.,Dwight
182,Take six.,"Just let me do it! God! Three, two, one. Hi. I’m Michael Scott. I’m in charge of Dunder Mifflin Paper Products here in Scranton… Keep the camera steady please! People are gonna get sea sick watching this. Ready? Three, two, one.",Michael
183,"Pam, I think I’m going to send you an IM.",Oh! Ok.,Pam
184,"Yes, sure. Mr. Scott, you can head to the conference room. The other managers are already there.",Great. Thank you.,Michael
185,Do you want someone to stop you? ‘Cause no one’s going to.,Nobody better try to stop me. Good.,Michael
186,Heading to Philly. Interview with Jim’s company.,"Hey, good luck. When you get to Philly, will you tell Jim I miss him?",Pam
187,What?,The Electric City. Scranton!,Michael
188,"Hello, am I the 107th caller? Hello, Rock 107. Am I the 107th caller? Hell , Rock 107. Am I the 107th caller? I’m totally gonna win us that box set.",Stop.,Michael
189,We decided that there’s no way Dwight would harm a child.,But are you a hundred percent sure? I don’t think any of us are.,Jim
190,"It’s not a signal. It’s just a coincidence. No, it’s not even a coincidence. It’s just something that happened.",Michael…,Pam
191,You suckers are goin down! They’re gonna wipe their asses with your serves! Piss all over your faces!,"Okay, Rolph! Woah. Wait, wait-",Dwight
192,I don’t even know what to say.,"I’m thinking, lock into a four year commitment, we’ll go month to month after that. Or, until I start dating, have a girlfriend, then you’re, you know, you’re gone.",Michael
193,"Alright, then we’re screwed. I am just a net that traps all of your crappy subconscious ideas and adds a little bit of my own childhood memories and whimsy, so –","So, well I lost a ton of money today and I have a mortgage, so I’m a little pissed too.",Jim
194,Are we over budget?,Nope.,Pam
195,"OK, so then, when?","Pam, I’m not gonna tell you. Hate to break it to you, but that’s not how that works.",Jim
196,You did?,"And now, I realize that you can program or download any ring you want. So, I’m a little overwhelmed.",Michael
197,"So, Frank. Do you have any thoughts about what was done? By you?","Maybe, maybe I could, could get the ball rolling. Um, Frank? Hi. Pam. Um, I am so sorry if I’ve done anything to offend you. I’m sure it isn’t easy for you guys to have an upstairs person coming down in your space. So. Truly. If, if, I apologize. But enough about me. Your turn.",Pam
198,"Oh, it’s okay, sweetie.","All right, all right. Okay.",Jim
199,… MICHAEL!,"Oh, that’s funny. MICHAEL!",Dwight
200,"In the future, you need to get Michael’s approval on anything before coming to me.",Thank you.,Michael
201,"Ummm, I don’t know.","Well, you said good luck to Jim as he walked in.",Michael
202,He said no.,"So, we should let him go.",Jim
203,Through the use of force.,"That is very general, and does not scare me in the slightest.",Dwight
204,Dragging.,That’s just a verb.,Dwight
205,Nice to meet you too.,This is smaller than your old place.,Dwight
206,Okay!,All you’re gonna need to and- it- and then go to–,Jim
207,"Wait, what girlfriend?",I haven’t told you about her.,Michael
208,"You haven’t even tried it on yet, try it on.","Not at work, I’ll try it on—",Pam
209,China is on the move?,"I found that in the waiting room at the dentist’s office. This kid had the magazine I wanted to read, that’s the only one I could reach and I read it and then I read it again.",Michael
210,I got it.,"Hey Pam, all this stuff with Kevin… um, it’s pretty scary. And I’m thinking that uh, next time you’re in the shower, you should check yourself out. You know, give yourself an exam. Those things are like ticking time bags. Alright? Think about it.",Michael
211,"Do it! Do it! Scream! Scream it out, scream it out, scream it out.",Aaaaaaaa!,Dwight
212,"Look, Michael, when we all calm down here, maybe at some point in the future, you change your mind, why don’t you give me a call?",Doubt it.,Michael
213,You lied to us.,"I lied to myself too. I’m not a millionaire. I thought I would be by the time I was 30, but I wasn’t even close. And then I thought maybe by the time I was 40, but by 40, I had less money than when I was 30. Maybe by my 50s, I don’t know. I wanted to pay for your education. I really did. It was my dream. Some people have evil drems, some people have selfish dreams or wet dreams. My dream was in the right place.",Michael
214,That sounds weird.,"It is weird! Look at you, perceptive. Now I know why Jo’s kept her eye on you!",Jim
215,"Take it up with Toby. What I want you to do, is I want you to look inward. And I want you to reflect. And I want you to say something different.",Can you give us a hint?,Jim
216,Ugh! There’s gum on the seat and now it’s on my work skirt. I have to go change.,Too bad I’m not gonna explain anything that you miss.,Dwight
217,"What’s up, Mike?","Uh, I need some advice from one baby daddy to another.",Michael
218,"Hey New York, Happy Halloween!",Thanks. My costume’s getting a lot of attention.,Pam
219,Do you want me to ask the cleaning crew if they stopped watering it?,Yeah. And you know what? Ask them about the toys on my desk too. They always used to arrange them in a very pleasing way. It used to brighten my morning.,Michael
220,Toward the sun.,At what time?,Dwight
221,What could he possibly stand to gain from a fake juggling routine?,What could he possibly stand to gain from a real juggling routine? How can you keep defending him?,Pam
222,"Well, anytime now.",How about July 4th weekend?,Michael
223,"Amok. It means, don’t let your imagination run out of control.","Why didn’t you just say that, Pam?",Michael
224,Hey.,Any emails today?,Michael
225,They did?,Yep.,Jim
226,Nice basket.,Thank you.,Jim
227,"Michael, can I… OK, I’m just going to skip right past the what and go with why.",Because this is the recreation of a crime scene.,Michael
228,"I can’t. She’s too strong. She’s, careful, though. You don’t want to break it.",She’s not gonna… Just…,Pam
229,"And, I feel God in this Chili’s tonight. WHOOOOOOOO!!!!",Pam Beesley ladies and gentleman. Oh! Thank you.,Michael
230,Whoa whoa whoa whoa whoa! So you’re just gonna throw away perfectly good food?,"It’s not really food, right?",Jim
231,Right… mmmm… right there.,Oh yeah. you’ve got a knot in your crest. This remedy has been passed down in my family for generations. and it always works. My grandfather was told that Diamond Dancer would never race again. they were wrong. He came in 9th in the Apple Creek Derby and his jerky came in 3rd the following year. A majestic beast. So fast. So tender.,Dwight
232,Stop shoving me.,"Stop shoving me. Stop grabbing my penis. Grow up. Take off your jacket and take a seat. When it lies, the human body exhibits many telltale signs.",Dwight
233,"Okay, I feel like this noise is going to prevent Pam from being able to listen to her body’s signals.","Actually, the distractions are good. I mean, I don’t think I’m going to make it until midnight if I’m just sitting here thinking about it.",Pam
234,–that none of us can be a part of–,"You can’t be a part of our relationship, Michael.",Pam
235,Rule two: we stop at nothing.,"Well, what does that… is that… okay.",Pam
236,Yes.,"Yeah, I’m pretty excited too.",Michael
237,And you make sure to get down there and check out that Harry Potter World.,Whatever you wanna do in your spare time is up to you!,Jim
238,It was the new one I did.,Oh,Jim
239,Is it?,"Yes! Because with all of your support, by this time next year maybe I’ll be down to one glass of iced tea a week.",Pam
240,"Yeah, we really did peel your grapes.","This is hilarious, but we’re gonna stop with all–",Jim
241,No!,"No, no, no, no.",Jim
242,"Come on, man.",Winners!,Dwight
243,Did this happen on company property?,"Yes. It was on company property, with company property, so… double jeopardy, we are fine.",Michael
244,"I remember, yes. I’m terribly sorry about that.","You work on commission, don’t you?",Dwight
245,"Cause there was dinner, by candlelight.",Uh hmm.,Pam
246,Well thanks Michael.,You’re welcome. Missed you. Missed you as part of our family.,Michael
247,"Well, I’m sorry if it seems that way to you.","Okay, that might help. If you said “I’m sorry” in front of everybody.",Michael
248,Wow. Ohhhkay. Man. When I think about all the time I wasted being your friend – I shouldn’t have been hanging out watching karate movies with you –,Kung-fu movies!,Dwight
249,“Nip slip.”,Oh okay. I don’t know how those got on there…,Michael
250,"As a matter of fact, yes. Directly adjacent….beachfront.","Thank you, Andy.",Dwight
251,"Listen, man, I really appreciate you letting me shadow you today. I feel like I learned a lot.",Natch.,Dwight
252,What did I tell you about “yeppers?”,I don’t… remember.,Michael
253,Pam… I hope she didn’t do anything to the food.,Like… like what?,Pam
254,It’s… it’s about talent.,"Oh, you gotta be… Josh?",Michael
255,"Wait, I’m sorry. Michael, are you– are you texting me?",I thought maybe we could talk after this is over.,Michael
256,You can’t do that these days. You can’t.,"No, no, no. And people don’t understand that is has nothing to do with making fun of a different nationality.",Michael
257,Hey!,I don’t think we have to do this again cause it’s gonna take a whole.,Jim
258,Oh.,This meeting is for Knights of the Night only.,Dwight
259,What?,Exactly that. I think that you absolutely deserve the manager position more than I do.,Jim
260,Hi.,You look great.,Michael
261,I wonder if she’ll start calling you ‘Jim’.,"Oh boy, please don’t. Let’s not let that happen.",Jim
262,"No I meant like uh, it’s cool, its kosher, it’s all good.","Ryan, you have such an interesting mind. So creative. All these new business ideas and artistic projects.",Dwight
263,"What? You stupid idiot! You’re like, you’re like a Sasquatch! You live in the woods…","Sasquatches are the strongest animal on the planet! So fine, call me a Sasquatch!",Dwight
264,What if this doesn’t work? What is the office actually goes under?,Then it was an honor to have worked with you.,Dwight
265,I’m closer to firing you.,That is so sweet. You are the best GD girlfriend in the world. Do you know that?,Michael
266,Who is it?,"I don’t know. Hey, are you on our payroll or are you employed by the building?",Michael
267,"Well, I’m going to the outlet mall on Saturday, so if you wanna save big on brand names and Roy has to work, which he will, because I’m also competitive, you should feel free to come along.","Um, I think I’m gonna be up at the lake.",Pam
268,"Michael, 5k means 5 kilometers, not 5 thousand miles.",Come in.,Michael
269,"Grandma, I can’t do this.","What’s going on? Little homework over here? Lets see if I can help. Huh, math, that’s not so hard. Ok. There are 4 of these, ignore the parenthesis, right?",Michael
270,"In English, box of paper snowshoe racing.","Fair enough, but I like Flonkerton.",Jim
271,”..breast pain…”,"No nobbies, no probbies. Nice try Jim.",Dwight
272,What?,"No, just kidding. Seriously though, that’s enough.",Jim
273,We need to keep the isle clear.,Yes…,Michael
274,"C’mon Jim, let’s go.","OK. Wow, thanks for taking all the excuses, dude.",Jim
275,After you!,"Oh, Michael! This’ll be just us.",Michael
276,Which is?,You’ve got to wave your arms and you’ve got to pound your fists. Many times. It’s supposed to emphasize your point.,Jim
277,Lock your door!,I’m not gonna lock my door.,Michael
278,I’m Tinkerbell.,No.,Jim
279,"Sack up, man.","Okay, can I have that?",Michael
280,Did you actually try your hardest?,"Yes… my pretty hardest. Look, you haven’t dealt with him in awhile, all right. He’s like super Dwight. It’s like he’s been bitten by a radioactive Dwight, or som- Stanley, back me up.",Jim
281,Just let him flirt with her. People meet each other all sorts of ways.,"Pam, you know he’s not gonna get anywhere, and he’s gonna blow our sale.",Jim
282,Hey! Hey!,"Mr. Kosseli. Hey hey hey, the Cos. What’s going on? Do we have a deal? Deal or no deal? Let’s make a deal. So what is the deal?",Michael
283,"It’s a thinking technique. All the top executives do it. It keeps the brain moving, and a spinning brain is a working brain.","For now, I’m just gonna go back to work here…",Jim
284,"You seem a little bit agitated, Michael. What’s the problem?",The problem is that I am the boss and apparently I can’t say anything.,Michael
285,"It gets in the breast milk. If I drink it, Cece drinks it six hours later.","Well, it doesn’t mean I can’t drink it.",Jim
286,"Oh, God. Michael. It was months ago. It was once, It’s over. Do you understand?",Yes. I’m sorry. I will fix this. I’ll talk to him. I’ll talk to David.,Michael
287,Hey. Why are you wearing a turtleneck?,Are you alright?,Jim
288,"Thought about it, I’m in.","I’m sorry, are you really trying to get us to invest in Jan’s company?",Jim
289,He did.,"I did, Michael. I was upset about the shirt sleeves at first, but now I’m okay with it.",Dwight
290,Why would we call you at night?,Well now you can’t call me at all. Problem solved.,Dwight
291,Well then I can’t use it. I’m just gonna hide it.,Hey. Bathroom checks out clean. Nothing behind the toilet except for this roach motel.,Dwight
292,Ok.,RAHHH!!!!!!!,Dwight
293,"No, Michael, people are blindfolded. That’s a hazard.","Very good, Jim. Pam, please note that Jim is very astute. All right, are we ready?",Michael
294,Do you want to give Michael your urine?,I want him to have all the urine he needs.,Dwight
